wiki_db,project,country,country_code,activity_level,count_eps,sum_eps,count_release_thresh,editors,edits,time
eswiki,es.wikipedia,Chile,CL,1 to 4,1.1,0.9,8,4122,5581.0,2024-01
jawiki,ja.wikipedia,Chile,CL,1 to 4,1.1,0.9,8,24,37.0,2024-01
itwiki,it.wikipedia,Chile,CL,1 to 4,1.1,0.9,8,22,25.0,2024-01
eswiktionary,es.wiktionary,Chile,CL,1 to 4,1.1,0.9,8,41,54.0,2024-01
eswiki,es.wikipedia,Chile,CL,5 to 99,1.1,0.9,8,883,14799.0,2024-01
wikidatawiki,en.wikidata,Chile,CL,1 to 4,1.1,0.9,8,307,392.0,2024-01
jawiki,ja.wikipedia,Chile,CL,1 to 4,1.1,0.9,8,20,34.0,2024-02
mediawikiwiki,en.mediawiki,Chile,CL,1 to 4,1.1,0.9,8,9,19.0,2024-02
enwiki,en.wikipedia,Chile,CL,5 to 99,1.1,0.9,8,141,2087.0,2024-02
wikidatawiki,en.wikidata,Chile,CL,100 or more,1.1,0.9,8,10,1225.0,2024-02
enwiki,en.wikipedia,Chile,CL,1 to 4,1.1,0.9,8,667,866.0,2024-02
eswiki,es.wikipedia,Chile,CL,1 to 4,1.1,0.9,8,3857,5166.0,2024-02
commonswiki,en.commons,Chile,CL,100 or more,1.1,0.9,8,9,822.0,2024-02
commonswiki,en.commons,Chile,CL,5 to 99,1.1,0.9,8,134,2514.0,2024-02
plwiki,pl.wikipedia,Chile,CL,1 to 4,1.1,0.9,8,8,7.0,2024-02
frwiki,fr.wikipedia,Chile,CL,5 to 99,1.1,0.9,8,8,144.0,2024-02
ptwiki,pt.wikipedia,Chile,CL,1 to 4,1.1,0.9,8,12,14.0,2024-02
idwiki,id.wikipedia,Chile,CL,1 to 4,1.1,0.9,8,9,8.0,2024-02
itwiki,it.wikipedia,Chile,CL,1 to 4,1.1,0.9,8,27,40.0,2024-02
commonswiki,en.commons,Chile,CL,1 to 4,1.1,0.9,8,196,255.0,2024-02
wikidatawiki,en.wikidata,Chile,CL,5 to 99,1.1,0.9,8,93,2083.0,2024-02
dewiki,de.wikipedia,Chile,CL,1 to 4,1.1,0.9,8,16,14.0,2024-02
eswiki,es.wikipedia,Chile,CL,100 or more,1.1,0.9,8,54,5340.0,2024-02
eswiki,es.wikipedia,Chile,CL,5 to 99,1.1,0.9,8,787,14488.0,2024-02
enwiktionary,en.wiktionary,Chile,CL,1 to 4,1.1,0.9,8,15,15.0,2024-02
metawiki,en.meta,Chile,CL,5 to 99,1.1,0.9,8,11,216.0,2024-02
metawiki,en.meta,Chile,CL,1 to 4,1.1,0.9,8,19,15.0,2024-02
huwiki,hu.wikipedia,Chile,CL,1 to 4,1.1,0.9,8,11,23.0,2024-02
frwiki,fr.wikipedia,Chile,CL,1 to 4,1.1,0.9,8,27,35.0,2024-02
eswiktionary,es.wiktionary,Chile,CL,1 to 4,1.1,0.9,8,44,70.0,2024-02
wikidatawiki,en.wikidata,Chile,CL,1 to 4,1.1,0.9,8,327,451.0,2024-02
enwiki,en.wikipedia,Chile,CL,100 or more,1.1,0.9,8,11,1112.0,2024-02
mediawikiwiki,en.mediawiki,Chile,CL,1 to 4,1.1,0.9,8,8,11.0,2024-03
enwiki,en.wikipedia,Chile,CL,5 to 99,1.1,0.9,8,131,2168.0,2024-03
simplewiki,simple.wikipedia,Chile,CL,1 to 4,1.1,0.9,8,11,12.0,2024-03
wikidatawiki,en.wikidata,Chile,CL,100 or more,1.1,0.9,8,9,1037.0,2024-03
eswiki,es.wikipedia,Chile,CL,1 to 4,1.1,0.9,8,4374,5694.0,2024-03
wikidatawiki,en.wikidata,Chile,CL,5 to 99,1.1,0.9,8,90,1726.0,2024-03
enwiki,en.wikipedia,Chile,CL,1 to 4,1.1,0.9,8,694,947.0,2024-03
commonswiki,en.commons,Chile,CL,100 or more,1.1,0.9,8,8,825.0,2024-03
commonswiki,en.commons,Chile,CL,5 to 99,1.1,0.9,8,106,1428.0,2024-03
commonswiki,en.commons,Chile,CL,1 to 4,1.1,0.9,8,181,239.0,2024-03
dewiki,de.wikipedia,Chile,CL,1 to 4,1.1,0.9,8,12,23.0,2024-03
eswiki,es.wikipedia,Chile,CL,5 to 99,1.1,0.9,8,721,13527.0,2024-03
itwiki,it.wikipedia,Chile,CL,1 to 4,1.1,0.9,8,21,40.0,2024-03
metawiki,en.meta,Chile,CL,5 to 99,1.1,0.9,8,10,438.0,2024-03
frwiki,fr.wikipedia,Chile,CL,1 to 4,1.1,0.9,8,27,36.0,2024-03
metawiki,en.meta,Chile,CL,1 to 4,1.1,0.9,8,20,24.0,2024-03
enwiktionary,en.wiktionary,Chile,CL,1 to 4,1.1,0.9,8,15,23.0,2024-03
ruwiki,ru.wikipedia,Chile,CL,1 to 4,1.1,0.9,8,8,17.0,2024-03
eswiktionary,es.wiktionary,Chile,CL,1 to 4,1.1,0.9,8,52,64.0,2024-03
wikidatawiki,en.wikidata,Chile,CL,1 to 4,1.1,0.9,8,364,480.0,2024-03
eswiki,es.wikipedia,Chile,CL,100 or more,1.1,0.9,8,53,5261.0,2024-03
enwiki,en.wikipedia,Chile,CL,100 or more,1.1,0.9,8,11,1381.0,2024-03
jawiki,ja.wikipedia,Chile,CL,1 to 4,1.1,0.9,8,14,12.0,2024-04
enwiki,en.wikipedia,Chile,CL,5 to 99,1.1,0.9,8,135,2082.0,2024-04
enwiki,en.wikipedia,Chile,CL,1 to 4,1.1,0.9,8,761,988.0,2024-04
wikidatawiki,en.wikidata,Chile,CL,100 or more,1.1,0.9,8,10,963.0,2024-04
simplewiki,simple.wikipedia,Chile,CL,1 to 4,1.1,0.9,8,10,5.0,2024-04
commonswiki,en.commons,Chile,CL,100 or more,1.1,0.9,8,10,855.0,2024-04
eswiki,es.wikipedia,Chile,CL,1 to 4,1.1,0.9,8,4962,6607.0,2024-04
commonswiki,en.commons,Chile,CL,1 to 4,1.1,0.9,8,191,291.0,2024-04
commonswiki,en.commons,Chile,CL,5 to 99,1.1,0.9,8,107,1880.0,2024-04
wikidatawiki,en.wikidata,Chile,CL,5 to 99,1.1,0.9,8,86,1748.0,2024-04
hrwiki,hr.wikipedia,Chile,CL,1 to 4,1.1,0.9,8,8,0.0,2024-04
itwiki,it.wikipedia,Chile,CL,1 to 4,1.1,0.9,8,23,31.0,2024-04
ptwiki,pt.wikipedia,Chile,CL,1 to 4,1.1,0.9,8,13,17.0,2024-04
eswiktionary,es.wiktionary,Chile,CL,1 to 4,1.1,0.9,8,46,39.0,2024-04
wikidatawiki,en.wikidata,Chile,CL,1 to 4,1.1,0.9,8,449,592.0,2024-04
eswiki,es.wikipedia,Chile,CL,5 to 99,1.1,0.9,8,680,11168.0,2024-04
eswiki,es.wikipedia,Chile,CL,100 or more,1.1,0.9,8,61,6392.0,2024-04
dewiki,de.wikipedia,Chile,CL,1 to 4,1.1,0.9,8,19,24.0,2024-04
metawiki,en.meta,Chile,CL,1 to 4,1.1,0.9,8,31,44.0,2024-04
frwiki,fr.wikipedia,Chile,CL,1 to 4,1.1,0.9,8,25,24.0,2024-04
enwiki,en.wikipedia,Chile,CL,100 or more,1.1,0.9,8,16,1614.0,2024-04
jawiki,ja.wikipedia,Chile,CL,1 to 4,1.1,0.9,8,13,37.0,2024-05
wikidatawiki,en.wikidata,Chile,CL,100 or more,1.1,0.9,8,10,1013.0,2024-05
enwiki,en.wikipedia,Chile,CL,5 to 99,1.1,0.9,8,125,2237.0,2024-05
simplewiki,simple.wikipedia,Chile,CL,1 to 4,1.1,0.9,8,11,18.0,2024-05
enwiki,en.wikipedia,Chile,CL,1 to 4,1.1,0.9,8,754,1008.0,2024-05
dewiki,de.wikipedia,Chile,CL,1 to 4,1.1,0.9,8,11,15.0,2024-05
commonswiki,en.commons,Chile,CL,5 to 99,1.1,0.9,8,118,2378.0,2024-05
eswiki,es.wikipedia,Chile,CL,1 to 4,1.1,0.9,8,4766,6390.0,2024-05
commonswiki,en.commons,Chile,CL,1 to 4,1.1,0.9,8,185,246.0,2024-05
frwiki,fr.wikipedia,Chile,CL,1 to 4,1.1,0.9,8,29,24.0,2024-05
wikidatawiki,en.wikidata,Chile,CL,1 to 4,1.1,0.9,8,480,612.0,2024-05
wikidatawiki,en.wikidata,Chile,CL,5 to 99,1.1,0.9,8,82,1861.0,2024-05
eswiki,es.wikipedia,Chile,CL,100 or more,1.1,0.9,8,56,5201.0,2024-05
eswiki,es.wikipedia,Chile,CL,5 to 99,1.1,0.9,8,677,11009.0,2024-05
itwiki,it.wikipedia,Chile,CL,1 to 4,1.1,0.9,8,18,23.0,2024-05
metawiki,en.meta,Chile,CL,1 to 4,1.1,0.9,8,25,28.0,2024-05
enwiktionary,en.wiktionary,Chile,CL,1 to 4,1.1,0.9,8,10,12.0,2024-05
enwiki,en.wikipedia,Chile,CL,100 or more,1.1,0.9,8,11,1261.0,2024-05
eswiktionary,es.wiktionary,Chile,CL,1 to 4,1.1,0.9,8,41,43.0,2024-05
jawiki,ja.wikipedia,Chile,CL,1 to 4,1.1,0.9,8,19,27.0,2024-06
jawikibooks,ja.wikibooks,Chile,CL,100 or more,1.1,0.9,8,10,0.0,2024-06
simplewiki,simple.wikipedia,Chile,CL,1 to 4,1.1,0.9,8,12,9.0,2024-06
wikidatawiki,en.wikidata,Chile,CL,100 or more,1.1,0.9,8,11,1006.0,2024-06
eswiki,es.wikipedia,Chile,CL,1 to 4,1.1,0.9,8,4476,5851.0,2024-06
enwiki,en.wikipedia,Chile,CL,5 to 99,1.1,0.9,8,117,2026.0,2024-06
wikidatawiki,en.wikidata,Chile,CL,1 to 4,1.1,0.9,8,371,497.0,2024-06
enwiki,en.wikipedia,Chile,CL,1 to 4,1.1,0.9,8,793,1069.0,2024-06
commonswiki,en.commons,Chile,CL,5 to 99,1.1,0.9,8,116,2614.0,2024-06
commonswiki,en.commons,Chile,CL,1 to 4,1.1,0.9,8,165,223.0,2024-06
metawiki,en.meta,Chile,CL,5 to 99,1.1,0.9,8,9,197.0,2024-06
itwiki,it.wikipedia,Chile,CL,1 to 4,1.1,0.9,8,14,21.0,2024-06
enwiktionary,en.wiktionary,Chile,CL,1 to 4,1.1,0.9,8,13,6.0,2024-06
eswiktionary,es.wiktionary,Chile,CL,1 to 4,1.1,0.9,8,41,46.0,2024-06
dewiki,de.wikipedia,Chile,CL,1 to 4,1.1,0.9,8,19,23.0,2024-06
wikidatawiki,en.wikidata,Chile,CL,5 to 99,1.1,0.9,8,93,1919.0,2024-06
metawiki,en.meta,Chile,CL,1 to 4,1.1,0.9,8,15,23.0,2024-06
eswiki,es.wikipedia,Chile,CL,5 to 99,1.1,0.9,8,711,11721.0,2024-06
frwiki,fr.wikipedia,Chile,CL,1 to 4,1.1,0.9,8,27,42.0,2024-06
eswiki,es.wikipedia,Chile,CL,100 or more,1.1,0.9,8,57,5558.0,2024-06
